district_id,name,name_en,area_km2,valid_px,ndvi_early_mean,ndvi_late_mean,dndvi_mean,dndvi_median,veg_frac_early,veg_frac_late,veg_frac_change_pp,strong_decline_ha,decline_ha,gain_ha,strong_gain_ha,decline_share_pct,rank_decline
37247803B78325352338503,Waraq,Waraq,27.61,7686,0.2367,0.2092,-0.0275,-0.0075,0.4655,0.3752,-9.03,323.6,439.2,243.4,137.9,27.57,1
37247803B84983151070332,Shubra Al-Khayma 2,Shubra Al-Khayma 2,17.23,4777,0.13,0.1084,-0.0216,-0.0004,0.1166,0.0622,-5.44,117.0,75.2,75.2,32.0,11.18,2
37247803B74669546915316,Kardasa,Kardasa,62.74,17442,0.2938,0.2777,-0.0161,-0.0124,0.6577,0.5784,-7.93,673.6,1180.8,819.0,491.0,29.53,3
37247803B9687639154335,Al-Ahram,Al-Ahram,20.09,5570,0.1515,0.137,-0.0145,-0.0035,0.205,0.1598,-4.52,77.0,204.1,99.0,17.3,14.02,4
37247803B74269871636707,Khsos,Khsos,5.7,1586,0.1061,0.0934,-0.0127,0.004,0.07,0.0259,-4.41,23.4,9.4,3.6,2.5,5.74,5
37247803B87868406017087,Shubra Al-Khayma 1,Shubra Al-Khayma 1,10.36,2882,0.121,0.1096,-0.0114,0.0017,0.1058,0.0569,-4.89,50.4,46.1,24.8,22.0,9.3,6
37247803B51665438591487,Marg,Marg,16.53,4589,0.1136,0.1035,-0.0101,0.0003,0.0815,0.0462,-3.53,38.2,104.8,20.9,4.3,8.65,7
37247803B16391777329697,Auseem,Auseem,51.08,14189,0.3815,0.3761,-0.0054,-0.0148,0.7977,0.7585,-3.92,420.5,1065.6,916.6,446.8,29.09,8
37247803B30889137034133,Umraniyya,Umraniyya,17.53,4872,0.1107,0.1053,-0.0054,0.0008,0.0782,0.0628,-1.54,32.8,73.1,44.3,6.1,6.03,9
37247803B72756565577460,Zamalik,Zamalik,2.69,745,0.2074,0.2021,-0.0054,-0.0016,0.5034,0.4698,-3.36,8.3,28.8,28.4,4.0,13.83,10
37247803B59036266241246,Giza (1246),Giza (1246),56.28,15630,0.3322,0.3283,-0.004,-0.0093,0.7005,0.6431,-5.74,498.2,1003.7,942.5,505.1,26.69,11
37247803B56780050438943,Al-Aguza,Al-Aguza,5.42,1506,0.1339,0.1304,-0.0035,-0.002,0.1262,0.1394,1.32,2.9,35.6,29.2,1.8,7.1,12
37247803B46347292779018,DuqqI,DuqqI,5.21,1445,0.1572,0.1551,-0.0022,-0.0027,0.2374,0.2263,-1.11,1.1,42.5,34.2,1.4,8.37,13
37247803B55829024150134,Giza (0134),Giza (0134),11.5,3196,0.1794,0.1794,-0.0001,-0.0018,0.3339,0.3251,-0.88,45.7,147.6,113.4,61.9,16.8,14
37247803B27962965783351,Al Matariyya,Al Matariyya,6.23,1735,0.0915,0.0928,0.0013,0.0056,0.0202,0.0265,0.63,2.2,27.7,13.0,0.7,4.78,15
